question_id,question,expected_status,expected_answer_summary,expected_document_id,expected_section,difficulty,question_type
Q031,trip is 3 grand what approvals and when do i get paid back,answered,"The trip requires manager and department head approval because it exceeds $2,500; after approval, reimbursement is paid in the next payroll cycle.",BPT-FIN-EXP-004|BPT-FIN-PAY-009,6. Manager Approval and Escalation|4. Expense Reimbursement Payment,hard,multi_hop
Q032,leaving the company what happens to vacation and final check,answered,Accrued unused PTO is paid at base rate in the final paycheck; final pay is issued within five business days of separation or sooner where state law requires.,BPT-HR-PTO-001|BPT-FIN-PAY-009,7. Separation from Employment|7. Separation and Final Pay,hard,multi_hop
Q033,moving to another state for two months and staying remote,answered,"Payroll must be notified when work from another US state exceeds 30 days, and the work arrangement change requires 30 days of notice and manager approval.",BPT-HR-HYB-005|BPT-HR-GUIDE-006,7. Working from Another Location|7. Requesting a Change to Your Work Arrangement,hard,multi_hop
Q034,conference costs 1500 how do i get it approved and book travel,answered,"A learning request above $1,000 needs manager and department head approval and may carry a 12-month service commitment; conference travel must be booked under the travel policy.",BPT-HR-LND-010|BPT-FIN-EXP-004,Approval Process|Service Commitment|4. Booking Travel,hard,multi_hop
Q035,new employee wants health coverage and 401k when can both start,answered,401(k) eligibility begins on day one; health enrollment must be completed within 30 days of the start date or the employee must wait for open enrollment unless a qualifying event applies.,BPT-FIN-RET-008|BPT-HR-BEN-007,2. Eligibility and Enrollment|3.1 New Hire Enrollment,hard,multi_hop
Q036,quit notice equipment return and account shutoff timing,answered,"The standard resignation notice is two weeks, equipment is due within 30 days of the last working day, and system access is revoked within five business days of separation.",BPT-HR-ONB-012|BPT-IT-SEC-011,Resignation and Notice|Equipment Return|Access on Separation,hard,multi_hop
Q037,taking parental leave do vacation and sick balances keep growing,answered,"PTO accrual continues during paid parental leave, while sick leave accrual does not; the PTO accrual rules are in the PTO policy.",BPT-HR-LEAVE-003|BPT-HR-PTO-001,8. Pay and Benefits During Leave|3. Annual Allowance and Accrual,hard,multi_hop
Q038,need to travel internationally and work there for a bit what approvals,answered,"Business travel requires pre-approval when overnight or above $500, while working from another country separately requires advance approval from People Operations, Tax, Legal, and Information Security and is capped at 15 consecutive days.",BPT-FIN-EXP-004|BPT-HR-HYB-005,3. Pre-Approval Requirements|7. Working from Another Location,hard,multi_hop
Q039,expense report is late from overseas when is cutoff and payment,answered,"International expense reports have a 60-day submission deadline; once approved, the reimbursement is paid in the next payroll cycle.",BPT-FIN-EXP-004|BPT-FIN-PAY-009,9. Submission Deadlines|4. Expense Reimbursement Payment,hard,multi_hop
Q040,adopting and need benefits change plus leave notice,answered,"An adoptive parent receives 8 weeks fully paid, should give 30 calendar days of leave notice where foreseeable, and may change benefit elections within 30 days of the qualifying event.",BPT-HR-LEAVE-003|BPT-HR-BEN-007,5. Non-Birth and Adoptive Parent Leave|7. Requesting Parental Leave|3.2 Qualifying Life Events,hard,multi_hop
Q041,how many days do i get for books,answered,"Books and learning materials are capped at $75 per request, not measured in days. Distractor note: BPT-HR-PTO-001 contains day-based allowances, but it does not govern books.",BPT-HR-LND-010,What Is Covered,hard,distractor_trap
Q042,need 75 back for my gym where does that come from,answered,"The wellness program reimburses $75 per quarter for a gym, fitness classes, or equipment. Distractor note: BPT-FIN-EXP-004 also uses $75 for a domestic meal per diem.",BPT-HR-BEN-007,7. Wellness Program,hard,distractor_trap
Q043,do i get 30 days to send the baby leave form,answered,"Where foreseeable, parental leave notice is due at least 30 calendar days before the expected start date. Distractor note: BPT-FIN-EXP-004 uses 30 days for expense-report submission.",BPT-HR-LEAVE-003,7. Requesting Parental Leave,hard,distractor_trap
Q044,my laptop is due back in 30 days does payroll collect it,answered,"Company equipment must be returned within 30 days of the last working day. Distractor note: BPT-FIN-PAY-009 is a likely match because the handbook is categorized Payroll, but the rule is in BPT-HR-ONB-012.",BPT-HR-ONB-012,Equipment Return,hard,distractor_trap
Q045,im sick should i just burn vacation instead,answered,"Illness should normally be recorded under Sick Leave rather than PTO. Distractor note: BPT-HR-PTO-001 contains vacation language, but BPT-HR-SICK-002 governs the medical absence.",BPT-HR-SICK-002|BPT-HR-PTO-001,4. Requesting Medical Leave|6. Unplanned Absence,hard,distractor_trap
Q046,who signs off if i work abroad during a trip,answered,"Working from another country requires advance approval from People Operations, Tax, Legal, and Information Security. Distractor note: BPT-FIN-EXP-004 governs travel approval, not permission to work from another country.",BPT-HR-HYB-005,7. Working from Another Location,hard,distractor_trap
Q047,five days after i leave is that my pay or my login,answered,"The five-business-day rule here is system-access revocation. Final pay has a separate five-business-day rule. Distractor note: BPT-FIN-PAY-009 may retrieve on the number collision, but BPT-IT-SEC-011 answers the login question.",BPT-IT-SEC-011|BPT-FIN-PAY-009,Access on Separation|7. Separation and Final Pay,hard,distractor_trap
Q048,reimbursement eligibility for an airport uber,answered,"Airport rideshare or taxi is reimbursable with a receipt and no cap. Distractor note: BPT-HR-LND-010 has a heading named Reimbursement Eligibility, but the airport expense rule is in BPT-FIN-EXP-004.",BPT-FIN-EXP-004,5. Reimbursement Limits,hard,distractor_trap
Q049,do unused vacation days roll over or disappear now,conflict,v1.0 caps carryover at 5 days and expires excess on January 31; v2.0 effective 2026-07-01 raises carryover to 10 days and moves excess expiry to March 31. The newer version applies to balances carried into 2027 onward.,BPT-HR-PTO-001,5. Carryover and Maximum Balance|2. Revised Carryover Provision,hard,conflict
Q050,whats the current max vacation bank 20 or 25,conflict,v1.0 states a 20-day maximum balance; v2.0 effective 2026-07-01 raises the maximum to 25 days. Cite v2.0 and note the earlier value.,BPT-HR-PTO-001,5. Carryover and Maximum Balance|2. Revised Carryover Provision,hard,conflict
Q051,austin core hours are they 10 to 3 or 9 to 4,conflict,"Both entries are present: the hybrid policy gives general core hours of 10:00 to 15:00 local time, while the payroll appendix lists Austin core hours as 09:00 to 16:00. Surface both and state that Austin has different site hours.",BPT-HR-HYB-005|BPT-FIN-PAY-009,4. Core Hours and Availability|Appendix B: Site-Specific Working Hours,hard,conflict
Q052,what time does an austin hybrid person have to be online,conflict,"The general hybrid rule is 10:00 to 15:00 local time, and the Austin site entry is 09:00 to 16:00. Do not choose one without explaining the site-specific difference.",BPT-HR-HYB-005|BPT-FIN-PAY-009,4. Core Hours and Availability|Appendix B: Site-Specific Working Hours,hard,conflict
Q053,cert exam reimbursement cap is 1200 or 2000,conflict,"BPT-HR-LND-010 states $2,000 per calendar year, while BPT-FIN-PAY-009 Appendix C states $1,200. The documents have the same version and effective date with no precedence clause; cite both and escalate to HR.",BPT-HR-LND-010|BPT-FIN-PAY-009,Annual Allowances|Appendix C: Professional Certification Reimbursement Schedule,hard,conflict
Q054,how much will bluepeak cover for professional certs,conflict,"The corpus conflicts: the L&D policy gives $2,000 per calendar year and the Payroll appendix gives $1,200. Surface both figures and escalate rather than selecting one.",BPT-HR-LND-010|BPT-FIN-PAY-009,Annual Allowances|Appendix C: Professional Certification Reimbursement Schedule,hard,conflict
Q055,whats the office dress code,not_found,The provided documents do not define an office dress code.,,,medium,unanswerable
Q056,does bluepeak pay for pet insurance,not_found,The provided documents do not state that BluePeak offers pet insurance.,,,medium,unanswerable
Q057,how long is my lunch break,not_found,The provided documents do not define meal or rest break duration.,,,medium,unanswerable
Q058,whats my annual bonus target,not_found,The provided documents do not state employee bonus targets.,,,medium,unanswerable
Q059,can i get paid for my normal commute,not_found,The provided documents do not authorize reimbursement for an ordinary commute.,,,medium,unanswerable
Q060,can i buy extra vacation days,not_found,The provided documents do not describe purchasing or selling PTO.,,,medium,unanswerable
Q061,does the company cover moving expenses,not_found,The provided documents do not define a relocation reimbursement program.,,,medium,unanswerable
Q062,is there a childcare subsidy,not_found,The provided documents do not state a childcare subsidy.,,,medium,unanswerable
Q063,how much is the dental deductible,partial,"Dental coverage is offered through a separate carrier, but the documents do not state a dental deductible amount.",BPT-HR-BEN-007,5. Dental and Vision,medium,partial
Q064,what is my vision copay,partial,"Vision coverage is offered, but the documents do not state a vision copay.",BPT-HR-BEN-007,5. Dental and Vision,medium,partial
Q065,how much is the premier family premium,partial,"Premier is a listed medical plan, but the family premium amount is not stated.",BPT-HR-BEN-007,4. Medical Plan Options,medium,partial
Q066,how many weeks can short term disability keep paying,partial,"The guide states 60 percent of base salary after a 14-day elimination period, but it does not state the maximum payment duration.",BPT-HR-BEN-007,9. Life and Disability Coverage,medium,partial
Q067,which taxes change if i remote work in another state,partial,"Payroll notification is required after more than 30 days in another US state, but the documents do not specify which taxes change.",BPT-HR-HYB-005,7. Working from Another Location,medium,partial
Q068,whats the eap phone number,partial,"The EAP benefit and session allowance are stated, but no phone number or provider contact is included.",BPT-HR-BEN-007,8. Employee Assistance Program,medium,partial
Q069,how many days off if my parent dies,not_found,Not answerable until the Bereavement policy is uploaded and approved. After approval: 5 paid days for an immediate family member.,BPT-HR-BER-013,3. Immediate Family Leave,medium,held_back
Q070,can i take paid time for my spouses serious illness,not_found,Not answerable until the Bereavement policy is uploaded and approved. After approval: up to 3 paid compassionate-leave days for serious illness in the immediate family.,BPT-HR-BER-013,5. Compassionate Leave,medium,held_back
