document_id,title,filename,version,effective_date,category_raw,status,allowed_roles,supersedes_id,change_summary,source_url
BPT-HR-DV-112,Dental & Vision Benefits,Dental & Vision Benefits.pdf,v1.0,2026-01-01,Benefits,Approved,Employee;Manager;Executive,,Initial standalone dental and vision guide with complete cost-sharing detail.,https://employee.bluepeaktech.com/resources/benefits/dental-vision
BPT-CORP-DIR-104,Employee Directory & Contacts,Employee Directory & Contacts.pdf,v1.0,2026-08-01,Employee Handbook and Company Information,Approved,Employee;Manager;Executive,,Initial controlled directory for leadership and employee-service contacts.,https://employee.bluepeaktech.com/resources/company/directory
BPT-HR-HBK-101,Employee Handbook,Employee Handbook.pdf,v1.0,2026-08-01,Employee Handbook and Company Information,Approved,Employee;Manager;Executive,,Consolidated company handbook aligned to the controlled HR policy library.,https://employee.bluepeaktech.com/resources/hr/employee-handbook
BPT-HR-WELL-114,Employee Wellness Program,Employee Wellness Program.pdf,v1.0,2026-01-01,Benefits,Approved,Employee;Manager;Executive,,Initial standalone wellness program with complete EAP and reimbursement details.,https://employee.bluepeaktech.com/resources/benefits/wellness
BPT-FIN-EXP-004,Expense Reimbursement Policy,Expense Reimbursement Policy.pdf,v2.0,2026-08-01,Travel and Expenses,Approved,Employee;Manager;Executive,BPT-FIN-EXP-004,"Separated travel standards from expense processing and added accountable-plan, approval, audit, and reimbursement controls.",https://employee.bluepeaktech.com/resources/finance/travel/expense-reimbursement
BPT-HR-MED-111,Health Insurance Guide,Health Insurance Guide.pdf,v1.0,2026-01-01,Benefits,Approved,Employee;Manager;Executive,,Initial standalone 2026 medical guide split from the combined health and welfare guide.,https://employee.bluepeaktech.com/resources/benefits/health-insurance
BPT-HR-HYB-005,Hybrid Work Policy,Hybrid Work Policy.pdf,v2.0,2026-08-01,Remote Work and Workplace,Approved,Employee;Manager;Executive,BPT-HR-HYB-005,"Consolidated site-specific core hours, clarified three-day onsite expectation, internet allowance, schedule changes, and exception governance.",https://employee.bluepeaktech.com/resources/people/work-arrangements/hybrid-work
BPT-IT-SEC-011,Information Security Policy,Information Security Policy.pdf,v2.0,2026-08-01,IT and Security,Approved,Employee;Manager;Executive,BPT-IT-SEC-011,"Added approved AI and RAG controls, document-level authorization, cloud and vendor safeguards, and clarified incident reporting and data classification.",https://employee.bluepeaktech.com/resources/it-security/policies/information-security
BPT-HR-LDI-115,Life & Disability Insurance,Life & Disability Insurance.pdf,v1.0,2026-01-01,Benefits,Approved,Employee;Manager;Executive,,Initial standalone life and disability guide with benefit amounts and duration.,https://employee.bluepeaktech.com/resources/benefits/life-disability
BPT-HR-NHG-102,New Hire Guide,New Hire Guide.pdf,v2.0,2026-08-01,Employee Handbook and Company Information,Approved,Employee;Manager;Executive,BPT-HR-ONB-012,"Expanded onboarding guide with role, location, access, benefits, payroll, and manager checklists.",https://employee.bluepeaktech.com/resources/hr/new-hire-guide
BPT-FIN-OTC-117,Overtime & Compensation Policy,Overtime & Compensation Policy.pdf,v1.0,2026-08-01,Payroll and Compensation,Approved,Employee;Manager;Executive,,Established a consolidated wage-and-hour and compensation administration standard.,https://employee.bluepeaktech.com/resources/finance/payroll/overtime-compensation
BPT-HR-PTO-001,Paid Time Off (PTO) Policy,Paid Time Off (PTO) Policy.pdf,v3.0,2026-07-01,Leave and Attendance,Approved,Employee;Manager;Executive,BPT-HR-PTO-001,"Consolidated the July 2026 carryover update into the full policy; carryover is 10 days, excess expires March 31, and the maximum balance is 25 days.",https://employee.bluepeaktech.com/resources/hr/leave/paid-time-off
BPT-HR-LEAVE-003,Parental Leave Policy,Parental Leave Policy.pdf,v2.0,2026-08-01,Leave and Attendance,Approved,Employee;Manager;Executive,BPT-HR-LEAVE-003,"Expanded inclusive definitions, pregnancy-loss support, phased-return administration, and leave coordination.",https://employee.bluepeaktech.com/resources/hr/leave/parental-leave
BPT-IT-IAM-126,Password & Account Security Policy,Password & Account Security Policy.pdf,v1.0,2026-08-01,IT and Security,Approved,Employee;Manager;Executive,,"Established passwordless-first authentication, minimum passphrase requirements, MFA methods, and account lifecycle controls.",https://employee.bluepeaktech.com/resources/it-security/policies/password-account-security
BPT-FIN-PAY-009,Payroll Schedule & Direct Deposit Policy,Payroll Schedule & Direct Deposit Policy.pdf,v2.0,2026-08-01,Payroll and Compensation,Approved,Employee;Manager;Executive,BPT-FIN-PAY-009,"Added the 2026 payroll calendar, multi-account deposit rules, correction service levels, and final-pay procedures.",https://employee.bluepeaktech.com/resources/finance/payroll/payroll-schedule-direct-deposit
BPT-HR-BON-118,Performance Bonus Policy,Performance Bonus Policy.pdf,v1.0,2026-01-01,Payroll and Compensation,Approved,Employee;Manager;Executive,,Established the 2026 annual performance incentive design and calculation controls.,https://employee.bluepeaktech.com/resources/people/compensation/performance-bonus
BPT-HR-REM-123,Remote Work Policy,Remote Work Policy.pdf,v1.0,2026-08-01,Remote Work and Workplace,Approved,Employee;Manager;Executive,,"Established remote-location, domestic jurisdiction, international work-away, travel, equipment, and review controls.",https://employee.bluepeaktech.com/resources/people/work-arrangements/remote-work
BPT-FIN-RET-008,Retirement (401k) Plan Guide,Retirement (401k) Plan Guide.pdf,v2.0,2026-08-01,Benefits,Approved,Employee;Manager;Executive,BPT-FIN-RET-008,"Clarified contribution changes, automatic escalation, match examples, loan administration, and separation options.",https://employee.bluepeaktech.com/resources/benefits/401k
BPT-HR-SICK-002,Sick Leave Policy,Sick Leave Policy.pdf,v2.0,2026-08-01,Leave and Attendance,Approved,Employee;Manager;Executive,BPT-HR-SICK-002,"Clarified family-care use, documentation privacy, intermittent absence, and coordination with disability and protected leave.",https://employee.bluepeaktech.com/resources/hr/leave/sick-leave
BPT-FIN-TRV-119,Travel Policy,Travel Policy.pdf,v2.0,2026-08-01,Travel and Expenses,Approved,Employee;Manager;Executive,BPT-FIN-TRV-119,"Separated travel standards from expense processing and confirmed approval thresholds, lodging caps, meal limits, air class, and international reporting deadlines.",https://employee.bluepeaktech.com/resources/finance/travel/travel-policy
BPT-OPS-SAFE-124,Workplace Safety & Emergency Procedures,Workplace Safety & Emergency Procedures.pdf,v1.0,2026-08-01,Remote Work and Workplace,Approved,Employee;Manager;Executive,,"Established site and remote safety procedures, emergency actions, notification roles, and reporting standards.",https://employee.bluepeaktech.com/resources/workplace/safety/emergency-procedures
