question_id,question,expected_status,expected_answer_summary,expected_document_id,expected_section,difficulty,question_type
Q032,leaving the company what happens to vacation and final check,answered,Accrued unused PTO is paid at base rate in the final paycheck; final pay is issued within five business days of separation or sooner where state law requires.,BPT-HR-PTO-001|BPT-FIN-PAY-009,7. Separation from Employment|7. Separation and Final Pay,hard,multi_hop
Q033,moving to another state for two months and staying remote,answered,"Payroll must be notified when work from another US state exceeds 30 days, and the work arrangement change requires 30 days of notice and manager approval.",BPT-HR-HYB-005|BPT-HR-REM-123,7. Working from Another Location|7. Requesting a Change to Your Work Arrangement,hard,multi_hop
Q034,conference costs 1500 how do i get it approved and book travel,answered,"A learning request above $1,000 needs manager and department head approval and may carry a 12-month service commitment; conference travel must be booked under the travel policy.",BPT-HR-LND-010|BPT-FIN-EXP-004,Approval Process|Service Commitment|4. Booking Travel,hard,multi_hop
Q035,new employee wants health coverage and 401k when can both start,answered,401(k) eligibility begins on day one; health enrollment must be completed within 30 days of the start date or the employee must wait for open enrollment unless a qualifying event applies.,BPT-FIN-RET-008|BPT-HR-MED-111,Eligibility,hard,multi_hop
Q036,quit notice equipment return and account shutoff timing,answered,"The standard resignation notice is two weeks, equipment is due within 30 days of the last working day, and system access is revoked within five business days of separation.",BPT-HR-ONB-012|BPT-IT-IAM-126,Resignation and Notice|Equipment Return|Access on Separation,hard,multi_hop
Q037,taking parental leave do vacation and sick balances keep growing,answered,"PTO accrual continues during paid parental leave, while sick leave accrual does not; the PTO accrual rules are in the PTO policy.",BPT-HR-LEAVE-003|BPT-HR-PTO-001,8. Pay and Benefits During Leave|3. Annual Allowance and Accrual,hard,multi_hop
Q038,need to travel internationally and work there for a bit what approvals,answered,"Business travel requires pre-approval when overnight or above $500, while working from another country separately requires advance approval from People Operations, Tax, Legal, and Information Security and is capped at 15 consecutive days.",BPT-FIN-TRV-119|BPT-HR-REM-123,3. Pre-Approval Requirements|7. Working from Another Location,hard,multi_hop
Q039,expense report is late from overseas when is cutoff and payment,answered,"International expense reports have a 60-day submission deadline; once approved, the reimbursement is paid in the next payroll cycle.",BPT-FIN-EXP-004|BPT-FIN-PAY-009,9. Submission Deadlines|4. Expense Reimbursement Payment,hard,multi_hop
Q040,adopting and need benefits change plus leave notice,answered,"An adoptive parent receives 8 weeks fully paid, should give 30 calendar days of leave notice where foreseeable, and may change benefit elections within 30 days of the qualifying event.",BPT-HR-LEAVE-003|BPT-HR-MED-111,Adoption and Notice,hard,multi_hop
Q041,how many days do i get for books,answered,"Books and learning materials are capped at $75 per request, not measured in days. Distractor note: BPT-HR-PTO-001 contains day-based allowances, but it does not govern books.",BPT-HR-LND-010,What Is Covered,hard,distractor_trap
Q042,need 75 back for my gym where does that come from,answered,"The wellness program reimburses $75 per quarter for a gym, fitness classes, or equipment. Distractor note: BPT-FIN-EXP-004 also uses $75 for a domestic meal per diem.",BPT-HR-WELL-114,Wellness Reimbursement,hard,distractor_trap
Q043,do i get 30 days to send the baby leave form,answered,"Where foreseeable, parental leave notice is due at least 30 calendar days before the expected start date. Distractor note: BPT-FIN-EXP-004 uses 30 days for expense-report submission.",BPT-HR-LEAVE-003,7. Requesting Parental Leave,hard,distractor_trap
Q044,my laptop is due back in 30 days does payroll collect it,answered,"Company equipment must be returned within 30 days of the last working day. Distractor note: BPT-FIN-PAY-009 is a likely match because the handbook is categorized Payroll, but the rule is in BPT-HR-ONB-012.",BPT-HR-ONB-012,Equipment Return,hard,distractor_trap
Q045,im sick should i just burn vacation instead,answered,"Illness should normally be recorded under Sick Leave rather than PTO. Distractor note: BPT-HR-PTO-001 contains vacation language, but BPT-HR-SICK-002 governs the medical absence.",BPT-HR-SICK-002|BPT-HR-PTO-001,4. Requesting Medical Leave|6. Unplanned Absence,hard,distractor_trap
Q046,who signs off if i work abroad during a trip,answered,"Working from another country requires advance approval from People Operations, Tax, Legal, and Information Security. Distractor note: BPT-FIN-EXP-004 governs travel approval, not permission to work from another country.",BPT-HR-REM-123,Work-Away Requests,hard,distractor_trap
Q047,five days after i leave is that my pay or my login,answered,"The five-business-day rule here is system-access revocation. Final pay has a separate five-business-day rule. Distractor note: BPT-FIN-PAY-009 may retrieve on the number collision, but BPT-IT-SEC-011 answers the login question.",BPT-IT-SEC-011|BPT-FIN-PAY-009,Access on Separation|7. Separation and Final Pay,hard,distractor_trap
Q048,reimbursement eligibility for an airport uber,answered,"Airport rideshare or taxi is reimbursable with a receipt and no cap. Distractor note: BPT-HR-LND-010 has a heading named Reimbursement Eligibility, but the airport expense rule is in BPT-FIN-EXP-004.",BPT-FIN-EXP-004,5. Reimbursement Limits,hard,distractor_trap
Q049,do unused vacation days roll over or disappear now,conflict,Carryover is 10 days; excess carryover expires March 31.,BPT-HR-PTO-001,"5. Carryover, Expiration, and Maximum Balance",hard,single_hop
Q050,whats the current max vacation bank 20 or 25,conflict,The maximum balance is 25 days; accrual pauses at the cap and resumes when the balance drops.,BPT-HR-PTO-001,"5. Carryover, Expiration, and Maximum Balance",hard,single_hop
Q051,austin core hours are they 10 to 3 or 9 to 4,conflict,Austin is 9:00 a.m.-4:00 p.m. local. The general 10:00-3:00 window does not replace the approved Austin schedule.,BPT-HR-HYB-005,Core Hours by Site,hard,conflict
Q052,what time does an austin hybrid person have to be online,conflict,An Austin hybrid employee follows the site-specific 9:00 a.m.-4:00 p.m. local core window.,BPT-HR-HYB-005,Core Hours by Site,hard,conflict
Q053,cert exam reimbursement cap is 1200 or 2000,conflict,"Professional certification reimbursement is up to $2,000 per calendar year.",BPT-HR-LND-010,Annual Allowances,hard,single_hop
Q054,how much will bluepeak cover for professional certs,conflict,"Up to $2,000 per calendar year for professional certification.",BPT-HR-LND-010,Annual Allowances,hard,single_hop
Q055,whats the office dress code,answered,"Jeans, sneakers and casual tops are acceptable when neat; customer meetings, conferences, lab or facilities work may require business attire or protective equipment.",BPT-HR-HBK-101,,medium,single_hop
Q056,does bluepeak pay for pet insurance,answered,Pet insurance is available as a voluntary group-rate program; premiums are employee-paid.,BPT-HR-WELL-114,,medium,single_hop
Q057,how long is my lunch break,answered,"A 30-minute unpaid, duty-free meal period applies to U.S. non-exempt employees.",BPT-HR-ATT-110,,medium,single_hop
Q058,whats my annual bonus target,answered,Standard annual targets are 5 percent of eligible earnings for an individual contributor and 10 percent for a people manager.,BPT-HR-BON-118,,medium,single_hop
Q059,can i get paid for my normal commute,answered,Ordinary commuting costs are not reimbursable.,BPT-FIN-EXP-004,,medium,single_hop
Q060,can i buy extra vacation days,answered,"No. BluePeak does not offer a PTO purchase, cash-out, sale, or donation program.",BPT-HR-PTO-001,,medium,single_hop
Q061,does the company cover moving expenses,answered,"Relocation expenses require a written agreement before the cost is incurred, and may be taxable or repayable.",BPT-FIN-EXP-004,,medium,single_hop
Q062,is there a childcare subsidy,answered,There is no general cash childcare subsidy; U.S. employees may elect a dependent care FSA.,BPT-HR-WELL-114,,medium,single_hop
Q063,how much is the dental deductible,answered,Dental Standard is $50 individual / $150 family; Dental Enhanced is $25 individual / $75 family.,BPT-HR-DV-112,11.1 How much is the dental deductible?,medium,single_hop
Q064,what is my vision copay,answered,The routine exam copay is $10 and the materials copay is $25.,BPT-HR-DV-112,11.2 What is the vision copay?,medium,single_hop
Q065,how much is the premier family premium,answered,$468 per semi-monthly paycheck for the 2026 plan year.,BPT-HR-MED-111,15.2 What is the Premier family premium?,medium,single_hop
Q066,how many weeks can short term disability keep paying,partial,"The guide states 60 percent of base salary after a 14-day elimination period, but it does not state the maximum payment duration.",BPT-HR-LDI-115,9. Life and Disability Coverage,medium,partial
Q067,which taxes change if i remote work in another state,partial,"Payroll notification is required after more than 30 days in another US state, but the documents do not specify which taxes change.",BPT-HR-HYB-005,7. Working from Another Location,medium,partial
Q068,whats the eap phone number,partial,"The EAP benefit and session allowance are stated, but no phone number or provider contact is included.",BPT-HR-WELL-114,8. Employee Assistance Program,medium,partial
Q069,how many days off if my parent dies,answered,5 workdays of paid leave for the death of an immediate family member.,BPT-HR-BER-013,13.1 How many days do I receive if my parent dies?,medium,single_hop
Q070,can i take paid time for my spouses serious illness,answered,"Yes, up to 3 paid workdays of compassionate leave; a longer family-care or protected leave may also apply.",BPT-HR-BER-013,13.4 Can I use compassionate leave for my spouse's serious illness?,medium,single_hop
Q071,is there a sabbatical after five years,not_found,The provided documents does not describe a sabbatical program.,,,medium,unanswerable
Q072,does bluepeak help pay off student loans,not_found,The provided documents does not describe student loan repayment assistance.,,,medium,unanswerable
Q073,do i get a sign on bonus,not_found,The provided documents does not state a sign-on or signing bonus.,,,medium,unanswerable
